V4_1,Data Marking,calendar-years,Time,mmm,Month,administrative-geography,Geography,property-type,PropertyType,build-status,BuildStatus,house-sales-and-prices,HouseSalesAndPrices
,.,2022,2022,dec,December,E08000007,Stockport,all,All,all,All,mean,Mean price
,.,2022,2022,dec,December,E08000007,Stockport,all,All,all,All,sales,Count of sales
,.,2022,2022,dec,December,E08000007,Stockport,all,All,all,All,median,Median price
4375.0,,2019,2019,dec,December,E08000006,Salford,all,All,all,All,sales,Count of sales
4688.0,,2017,2017,dec,December,E08000006,Salford,all,All,all,All,sales,Count of sales
3224.0,,2020,2020,dec,December,E08000006,Salford,all,All,all,All,sales,Count of sales
200000.0,,2021,2021,dec,December,E08000006,Salford,all,All,all,All,median,Median price
3854.0,,2021,2021,dec,December,E08000006,Salford,all,All,all,All,sales,Count of sales
4483.0,,2018,2018,dec,December,E08000006,Salford,all,All,all,All,sales,Count of sales
190000.0,,2020,2020,dec,December,E08000006,Salford,all,All,all,All,median,Median price
170500.0,,2019,2019,dec,December,E08000006,Salford,all,All,all,All,median,Median price
157497.5,,2017,2017,dec,December,E08000006,Salford,all,All,all,All,median,Median price
160000.0,,2018,2018,dec,December,E08000006,Salford,all,All,all,All,median,Median price
228001.60093,,2021,2021,dec,December,E08000006,Salford,all,All,all,All,mean,Mean price
180677.36199,,2017,2017,dec,December,E08000006,Salford,all,All,all,All,mean,Mean price
183275.05666,,2018,2018,dec,December,E08000006,Salford,all,All,all,All,mean,Mean price
155000.0,,2021,2021,dec,December,E08000006,Salford,all,All,all,All,lower-quartile,Lower quartile price
120000.0,,2018,2018,dec,December,E08000006,Salford,all,All,all,All,lower-quartile,Lower quartile price
212010.84026,,2020,2020,dec,December,E08000006,Salford,all,All,all,All,mean,Mean price
193659.15131,,2019,2019,dec,December,E08000006,Salford,all,All,all,All,mean,Mean price
120000.0,,2017,2017,dec,December,E08000006,Salford,all,All,all,All,lower-quartile,Lower quartile price
135000.0,,2019,2019,dec,December,E08000006,Salford,all,All,all,All,lower-quartile,Lower quartile price
145000.0,,2020,2020,dec,December,E08000006,Salford,all,All,all,All,lower-quartile,Lower quartile price
120000.0,,2021,2021,dec,December,E08000006,Salford,all,All,all,All,tenth-percentile,Tenth percentile price
89995.0,,2018,2018,dec,December,E08000006,Salford,all,All,all,All,tenth-percentile,Tenth percentile price
115000.0,,2020,2020,dec,December,E08000006,Salford,all,All,all,All,tenth-percentile,Tenth percentile price
94950.0,,2017,2017,dec,December,E08000006,Salford,all,All,all,All,tenth-percentile,Tenth percentile price
109950.0,,2019,2019,dec,December,E08000006,Salford,all,All,all,All,tenth-percentile,Tenth percentile price
,.,2022,2022,dec,December,E08000006,Salford,all,All,all,All,mean,Mean price
,.,2022,2022,dec,December,E08000006,Salford,all,All,all,All,sales,Count of sales
,.,2022,2022,dec,December,E08000006,Salford,all,All,all,All,median,Median price
,.,2022,2022,dec,December,E08000006,Salford,all,All,all,All,lower-quartile,Lower quartile price
,.,2022,2022,dec,December,E08000006,Salford,all,All,all,All,tenth-percentile,Tenth percentile price
2979.0,,2018,2018,dec,December,E08000005,Rochdale,all,All,all,All,sales,Count of sales
2976.0,,2019,2019,dec,December,E08000005,Rochdale,all,All,all,All,sales,Count of sales
2380.0,,2020,2020,dec,December,E08000005,Rochdale,all,All,all,All,sales,Count of sales
2886.0,,2021,2021,dec,December,E08000005,Rochdale,all,All,all,All,sales,Count of sales
2911.0,,2017,2017,dec,December,E08000005,Rochdale,all,All,all,All,sales,Count of sales
150000.0,,2020,2020,dec,December,E08000005,Rochdale,all,All,all,All,median,Median price
